Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,4/2/2024,1.5,Other,1000,2000,1500
Ambala Cantt.,4/4/2024,8,Other,1000,1300,1200
Ambala Cantt.,4/6/2024,1.5,Other,1000,1300,1200
Ambala Cantt.,4/7/2024,8.5,Other,1000,1300,1200
Ambala Cantt.,4/9/2024,7.5,Other,1000,1300,1200
Ambala Cantt.,4/11/2024,8.5,Other,1000,1300,1200
Ambala Cantt.,4/12/2024,1.2,Other,1000,1300,1200
Ambala Cantt.,4/17/2024,8.5,Other,800,1500,900
Ambala Cantt.,4/18/2024,7.5,Other,800,1500,1200
Ambala Cantt.,4/24/2024,8.4,Other,1200,1550,1500
Ambala Cantt.,4/25/2024,8.5,Other,1000,1600,1500
Ambala Cantt.,4/27/2024,8,Other,1000,1500,1200
Ambala Cantt.,4/28/2024,8.5,Other,1000,1500,1200
Ambala City(Subji Mandi),4/5/2024,14.5,Other,1500,3000,2000
Ambala City(Subji Mandi),4/8/2024,13.45,Other,1500,3250,2000
Bahadurgarh,4/1/2024,5,Other,2000,2500,2300
Ballabhgarh,4/2/2024,8,Other,1200,1500,1300
Ballabhgarh,4/3/2024,6,Other,1000,1500,1200
Ballabhgarh,4/4/2024,4.6,Other,1000,1200,1000
Ballabhgarh,4/6/2024,3.6,Other,1000,1400,1200
Ballabhgarh,4/9/2024,9,Other,2000,2300,2000
Ballabhgarh,4/12/2024,5.8,Other,3000,3500,3200
Ballabhgarh,4/13/2024,4,Other,2000,2800,2500
Ballabhgarh,4/15/2024,8.6,Other,1800,2200,2000
Ballabhgarh,4/16/2024,3.2,Other,1200,1800,1500
Ballabhgarh,4/17/2024,6.5,Other,1000,1500,1200
Ballabhgarh,4/19/2024,4,Other,500,1000,800
Ballabhgarh,4/20/2024,3,Other,1200,1500,1500
Ballabhgarh,4/22/2024,8,Other,1200,1800,1500
Ballabhgarh,4/23/2024,2.8,Other,1000,1400,1200
Ballabhgarh,4/27/2024,4.5,Other,500,1500,1000
Barara,4/3/2024,0.64,Other,1300,1400,1300
Barara,4/4/2024,1.1,Other,1200,1600,1200
Barara,4/5/2024,1.4,Other,1200,1800,1200
Barara,4/8/2024,0.8,Other,1200,1800,1200
Barara,4/9/2024,0.82,Other,1400,1500,1400
Barara,4/10/2024,0.55,Other,1500,2000,1500
Barara,4/11/2024,0.6,Other,1400,1500,1400
Barara,4/12/2024,0.92,Other,1800,2000,1800
Barara,4/13/2024,0.64,Other,1300,1800,1300
Barara,4/15/2024,0.65,Other,1300,1500,1500
Barara,4/16/2024,0.8,Other,1300,1500,1300
Barara,4/17/2024,0.86,Other,1300,2000,1300
Barara,4/18/2024,0.72,Other,1200,1800,1200
Barara,4/19/2024,0.64,Other,1300,1600,1300
Barara,4/20/2024,0.65,Other,1400,1600,1400
Barara,4/22/2024,0.95,Other,1400,1600,1400
Barara,4/23/2024,0.65,Other,1400,1800,1400
Barara,4/24/2024,0.91,Other,1400,1500,1400
Barara,4/25/2024,0.96,Other,1100,1400,1100
Barara,4/26/2024,1.1,Other,1300,1500,1300
Barara,4/27/2024,1.52,Other,1200,1600,1200
Barara,4/29/2024,0.54,Other,1200,1500,1200
Barara,4/30/2024,0.74,Other,1300,2000,1300
Barwala,4/1/2024,11,Other,1600,2000,1800
Barwala,4/2/2024,10,Other,1600,2000,1800
Barwala,4/3/2024,10,Other,1400,1800,1600
Barwala,4/4/2024,20,Other,1000,2000,1500
Barwala,4/5/2024,21.5,Other,1000,2000,1500
Barwala,4/6/2024,20,Other,1000,2000,1500
Barwala,4/7/2024,16,Other,1000,2000,1500
Barwala,4/8/2024,16,Other,1200,1800,1500
Barwala,4/9/2024,14,Other,1000,2000,1500
Barwala,4/11/2024,14,Other,1500,2000,1750
Barwala,4/12/2024,15.2,Other,1500,2000,1750
Barwala,4/13/2024,14,Other,1500,2000,1750
Barwala,4/14/2024,11,Other,1500,1900,1700
Barwala,4/15/2024,11,Other,1500,2000,1750
Barwala,4/16/2024,6,Other,2000,2000,2000
Barwala,4/17/2024,6,Other,2000,2000,2000
Barwala,4/18/2024,5,Other,2000,2000,2000
Barwala,4/19/2024,5,Other,2000,2000,2000
Barwala,4/20/2024,4,Other,2000,2000,2000
Barwala,4/21/2024,2,Other,2000,2000,2000
Barwala,4/22/2024,1,Other,2000,2000,2000
Barwala,4/23/2024,14.3,Other,2000,2000,2000
Barwala,4/24/2024,11,Other,2000,2000,2000
Barwala,4/25/2024,12,Other,2000,2000,2000
Barwala,4/26/2024,13,Other,2000,2000,2000
Barwala,4/27/2024,12,Other,2000,2000,2000
Barwala,4/28/2024,12,Other,1600,2000,1800
Barwala,4/29/2024,14.5,Other,1600,2000,1800
Barwala,4/30/2024,12,Other,1600,2000,1800
Barwala(Hisar),4/1/2024,4.4,Other,1500,2000,1800
Barwala(Hisar),4/2/2024,2.9,Other,1500,2000,1800
Barwala(Hisar),4/3/2024,2.4,Other,1200,2000,1800
Barwala(Hisar),4/4/2024,3.2,Other,1500,2000,1800
Barwala(Hisar),4/5/2024,2.3,Other,1500,2000,1800
Barwala(Hisar),4/6/2024,2.4,Other,1500,2000,1800
Barwala(Hisar),4/7/2024,0.5,Other,1500,2000,1800
Barwala(Hisar),4/8/2024,1.1,Other,1500,2000,1700
Barwala(Hisar),4/9/2024,2,Other,1200,2000,1800
Barwala(Hisar),4/11/2024,2.9,Other,1200,2000,1500
Barwala(Hisar),4/13/2024,0.9,Other,1000,2000,1500
Barwala(Hisar),4/14/2024,1.2,Other,1000,1200,1100
Barwala(Hisar),4/16/2024,1,Other,1500,2000,1800
Barwala(Hisar),4/17/2024,2.2,Other,1400,2000,1800
Barwala(Hisar),4/19/2024,2,Other,1500,2000,1800
Barwala(Hisar),4/20/2024,3.8,Other,1000,1200,1100
Barwala(Hisar),4/21/2024,2.3,Other,1500,2000,1800
Barwala(Hisar),4/23/2024,2.3,Other,1500,2000,1800
Barwala(Hisar),4/25/2024,2.7,Other,1500,2200,2000
Barwala(Hisar),4/26/2024,2.4,Other,1500,2100,1800
Barwala(Hisar),4/27/2024,1.4,Other,1500,2000,1800
Barwala(Hisar),4/28/2024,2.5,Other,1500,2000,1800
Barwala(Hisar),4/29/2024,2,Other,1700,2000,1800
Bhiwani,4/3/2024,0.4,Tomato,2450,3500,2890
Bhiwani,4/4/2024,0.7,Tomato,2450,3500,2890
Bhiwani,4/5/2024,0.92,Tomato,2450,3580,3012
Ch. Dadri,4/5/2024,5,Other,1400,1600,1500
Ch. Dadri,4/6/2024,3.9,Other,1000,1500,1250
Ch. Dadri,4/7/2024,2.5,Other,700,1500,1100
Ch. Dadri,4/8/2024,4.9,Other,700,1500,1100
Ch. Dadri,4/13/2024,3.5,Other,2400,2500,2450
Ch. Dadri,4/18/2024,5.1,Other,700,2500,1600
Chhachrauli,4/4/2024,0.1,Tomato,1800,2000,1800
Chhachrauli,4/6/2024,0.1,Tomato,1600,1800,1600
Chhachrauli,4/7/2024,0.05,Tomato,4000,4000,4000
Chhachrauli,4/8/2024,0.15,Tomato,2000,2000,2000
Chhachrauli,4/9/2024,0.15,Tomato,1900,3000,1900
Chhachrauli,4/10/2024,0.1,Tomato,1900,3000,1900
Chhachrauli,4/12/2024,0.1,Tomato,1900,2000,1900
Chhachrauli,4/13/2024,0.1,Tomato,2000,3000,2500
Chhachrauli,4/14/2024,0.15,Tomato,3000,3000,3000
Chhachrauli,4/15/2024,0.1,Tomato,3000,3000,3000
Chhachrauli,4/16/2024,0.1,Tomato,3000,3000,3000
Chhachrauli,4/17/2024,0.15,Tomato,2800,3000,2800
Chhachrauli,4/18/2024,0.15,Tomato,2800,3000,2800
Chhachrauli,4/19/2024,0.1,Tomato,3000,3000,3000
Chhachrauli,4/20/2024,0.1,Tomato,3000,3000,3000
Chhachrauli,4/21/2024,0.2,Tomato,3000,3500,3000
Chhachrauli,4/23/2024,0.1,Tomato,3000,3500,3000
Chhachrauli,4/24/2024,0.1,Tomato,3000,3500,3000
Chhachrauli,4/25/2024,0.15,Tomato,3200,3400,3200
Chhachrauli,4/26/2024,0.1,Tomato,3200,3400,3200
Chhachrauli,4/27/2024,0.2,Tomato,3200,3400,3200
Chhachrauli,4/29/2024,0.2,Tomato,3200,3400,3200
Chhachrauli,4/30/2024,0.1,Tomato,3400,3400,3400
Dhand,4/1/2024,0.3,Deshi,2000,2300,2200
Dhand,4/3/2024,0.4,Deshi,1800,2000,1900
Dhand,4/4/2024,0.2,Deshi,2000,2200,2180
Dhand,4/7/2024,0.3,Deshi,1500,2100,2000
Dhand,4/8/2024,0.3,Deshi,1500,2100,2000
Dhand,4/9/2024,0.2,Deshi,2000,2100,2080
Dhand,4/10/2024,0.1,Deshi,2000,2100,2080
Dhand,4/12/2024,0.1,Deshi,3000,3200,3150
Dhand,4/13/2024,0.1,Deshi,2300,2500,2400
Dhand,4/15/2024,0.1,Deshi,2000,2200,2150
Dhand,4/16/2024,0.4,Deshi,2000,2600,2500
Dhand,4/17/2024,0.4,Deshi,2000,2500,2400
Dhand,4/18/2024,0.2,Deshi,2000,3000,2250
Dhand,4/19/2024,0.2,Deshi,2000,2200,2180
Dhand,4/20/2024,0.1,Deshi,3000,3200,3150
Dhand,4/21/2024,0.1,Deshi,2400,2500,2480
Dhand,4/22/2024,0.1,Deshi,2300,2500,2450
Dhand,4/23/2024,0.2,Deshi,2000,2200,2170
Dhand,4/24/2024,0.4,Deshi,2500,2600,2580
Dhand,4/25/2024,0.4,Deshi,2500,2600,2580
Dhand,4/26/2024,0.1,Deshi,2000,2200,2180
Dhand,4/27/2024,0.4,Deshi,1500,1800,1700
Dhand,4/29/2024,0.4,Deshi,1500,1800,1750
Dharsul,4/1/2024,3,Deshi,1500,2100,1800
Dharsul,4/9/2024,4,Deshi,1300,1500,1400
Dharsul,4/11/2024,3,Deshi,1500,1900,1600
Dharsul,4/12/2024,2,Deshi,1600,2000,1600
Dharsul,4/13/2024,2,Deshi,1600,1800,1600
Dharsul,4/16/2024,1,Deshi,1600,1600,1600
Farukh Nagar,4/25/2024,1.5,Other,2000,2000,2000
Farukh Nagar,4/26/2024,2.5,Other,2000,2000,2000
Farukh Nagar,4/27/2024,2,Other,2000,2000,2000
Farukh Nagar,4/28/2024,2.7,Other,1000,2000,1000
Farukh Nagar,4/29/2024,3.4,Other,1000,2000,1000
Farukh Nagar,4/30/2024,2.4,Other,1900,2500,1900
Fatehabad,4/2/2024,12.1,Other,1500,2000,1700
Fatehabad,4/4/2024,6.8,Other,1500,2000,1800
Fatehabad,4/5/2024,6.8,Other,1500,2000,1800
Fatehabad,4/11/2024,4.6,Other,1200,1200,1200
Fatehabad,4/12/2024,4.6,Other,1200,2200,1500
Fatehabad,4/14/2024,5.6,Other,2000,2000,2000
Fatehabad,4/22/2024,5.5,Other,1000,1800,1500
Fatehabad,4/23/2024,8.9,Other,2000,4000,3500
Fatehabad,4/25/2024,5.6,Other,2000,4000,3500
Fatehabad,4/26/2024,4.9,Other,2500,4500,3500
FerozpurZirkha(Nagina),4/3/2024,2,Other,1400,1800,1600
FerozpurZirkha(Nagina),4/4/2024,2.5,Other,1400,1800,1600
FerozpurZirkha(Nagina),4/5/2024,2,Other,1400,1800,1600
FerozpurZirkha(Nagina),4/6/2024,2,Other,1400,1800,1600
FerozpurZirkha(Nagina),4/7/2024,1.5,Other,1400,1800,1600
