Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),,,,,
Ambala Cantt.,8/1/2024,8.8,Other,2000,4000,3500,,,,,
Ambala Cantt.,8/2/2024,8.5,Other,2000,4000,3500,,,,,
Ambala Cantt.,8/4/2024,4.6,Other,2000,4000,3500,,,,,
Ambala Cantt.,8/9/2024,12,Other,2000,4000,3500,,,,,
Ambala Cantt.,8/10/2024,8.5,Other,2000,4000,3500,,,,, 
Ambala Cantt.,8/11/2024,1.5,Other,2000,4000,2500,,,,,
Ambala Cantt.,8/19/2024,8.5,Other,1800,2500,2200,,,,,
Ambala Cantt.,8/23/2024,9.8,Other,1800,2500,2200,,,,,
Ambala Cantt.,8/28/2024,9.8,Other,1500,2600,2200,,,,,
Ambala Cantt.,8/29/2024,8.5,Other,1500,2800,2500,,,,,
Ambala Cantt.,8/30/2024,8.6,Other,1500,2600,2200,,,,,
Ambala Cantt.,8/31/2024,8,Other,1500,2600,2200,,,,,
Bahadurgarh,8/1/2024,7.5,Other,4000,5500,5000,,,,,
Bahadurgarh,8/2/2024,10,Other,4000,5500,5000,,,,,
Bahadurgarh,8/3/2024,8.7,Other,3500,4000,3800,,,,,
Bahadurgarh,8/4/2024,9.5,Other,3500,4500,4000,,,,,
Bahadurgarh,8/5/2024,8.1,Other,3500,4500,4000,,,,,
Bahadurgarh,8/9/2024,7.9,Other,3000,6000,5000,,,,,
Bahadurgarh,8/10/2024,8.9,Other,3000,3500,3200,,,,,
Bahadurgarh,8/11/2024,6,Other,3000,3500,3200,,,,,
Bahadurgarh,8/12/2024,8,Other,2500,3500,3000,,,,,
Bahadurgarh,8/13/2024,8,Other,2500,3500,3000,,,,,
Bahadurgarh,8/14/2024,6.7,Other,2500,3500,3000,,,,,
Bahadurgarh,8/16/2024,9,Other,2500,4000,3500,,,,,
Bahadurgarh,8/17/2024,10.6,Other,2500,4000,3500,,,,,
Bahadurgarh,8/19/2024,7.2,Other,3000,4000,3500,,,,,
Bahadurgarh,8/20/2024,11,Other,2200,2500,2400,,,,,
Bahadurgarh,8/23/2024,11.6,Other,2200,2500,2400,,,,,
Bahadurgarh,8/24/2024,10.5,Other,2200,2500,2400,,,,,
Bahadurgarh,8/26/2024,8.7,Other,2500,3500,3000,,,,,
Bahadurgarh,8/27/2024,8.1,Other,2500,3500,3000,,,,,
Bahadurgarh,8/28/2024,12.1,Other,2500,3500,3000,,,,,
Bahadurgarh,8/29/2024,4,Other,2800,3800,3500,,,,,
Bahadurgarh,8/30/2024,10.7,Other,3000,4000,3500,,,,,
Bahadurgarh,8/31/2024,10,Other,2300,2500,2400,,,,,
Ballabhgarh,8/1/2024,6,Other,4000,4500,4200,,,,,
Ballabhgarh,8/2/2024,4,Other,1500,2000,1800,,,,,
