Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,2/1/2024,8.9,Other,1000,1500,1200
Ambala Cantt.,2/2/2024,1.4,Other,1000,1500,1200
Ambala Cantt.,2/3/2024,9,Other,1000,1500,1200
Ambala Cantt.,2/4/2024,9,Other,1000,1600,1200
Ambala Cantt.,2/6/2024,8.9,Other,1000,1500,1200
Ambala Cantt.,2/10/2024,8.4,Other,800,1200,1000
Ambala Cantt.,2/13/2024,8.4,Other,800,1200,1000
Ambala Cantt.,2/15/2024,8,Other,700,1300,1000
Ambala Cantt.,2/16/2024,8,Other,700,1300,1200
Ambala Cantt.,2/18/2024,6.5,Other,800,1400,1200
Ambala Cantt.,2/20/2024,8.4,Other,800,1400,1200
Ambala Cantt.,2/21/2024,1.5,Other,800,1400,1200
Ambala Cantt.,2/22/2024,8.6,Other,800,1500,1200
Ambala Cantt.,2/23/2024,11,Other,800,1500,1200
Ambala Cantt.,2/24/2024,8.6,Other,800,1400,1200
Ambala Cantt.,2/25/2024,8.4,Other,800,1500,1200
Ambala City(Subji Mandi),2/1/2024,6.9,Other,2450,3300,2800
Ambala City(Subji Mandi),2/2/2024,10.7,Other,1950,3100,2400
Ambala City(Subji Mandi),2/3/2024,8,Other,2250,3250,2600
Ambala City(Subji Mandi),2/5/2024,11.4,Other,2000,3200,3000
Ambala City(Subji Mandi),2/7/2024,5.6,Other,1500,3500,2000
Ambala City(Subji Mandi),2/8/2024,7,Other,1500,3000,2000
Ambala City(Subji Mandi),2/9/2024,12,Other,1000,2500,1500
Ambala City(Subji Mandi),2/13/2024,3.2,Other,1500,3250,2500
Ambala City(Subji Mandi),2/15/2024,9,Other,1500,3000,2000
Ambala City(Subji Mandi),2/17/2024,10.8,Other,1000,3500,2000
Ambala City(Subji Mandi),2/19/2024,6.3,Other,1500,3000,2000
Ambala City(Subji Mandi),2/20/2024,6.8,Other,1000,3000,2000
Ambala City(Subji Mandi),2/21/2024,16.4,Other,1000,2500,1500
Ambala City(Subji Mandi),2/22/2024,5.6,Other,1500,3500,2000
Ambala City(Subji Mandi),2/24/2024,12.1,Other,1500,3000,2000
Bahadurgarh,2/1/2024,9.4,Other,2000,3000,2500
Bahadurgarh,2/2/2024,15.3,Other,2000,3000,2500
Bahadurgarh,2/3/2024,13,Other,2500,3200,3000
Bahadurgarh,2/4/2024,11,Other,1800,3000,2500
Bahadurgarh,2/5/2024,12.8,Other,1800,3000,2500
Bahadurgarh,2/6/2024,14.1,Other,1500,3000,2500
Bahadurgarh,2/7/2024,10,Other,1500,2600,2000
Bahadurgarh,2/8/2024,9.5,Other,1500,2500,2000
Bahadurgarh,2/12/2024,15.3,Other,1500,3500,2500
Bahadurgarh,2/13/2024,16.7,Other,1500,2500,2000
Bahadurgarh,2/15/2024,12.5,Other,2000,2300,2200
Bahadurgarh,2/16/2024,17.4,Other,1500,2300,2000
Bahadurgarh,2/17/2024,7.3,Other,2500,3200,2800
Bahadurgarh,2/18/2024,8.4,Other,2500,3300,3000
Bahadurgarh,2/19/2024,13.2,Other,1500,2500,2000
Bahadurgarh,2/20/2024,16.4,Other,2000,2500,2200
Bahadurgarh,2/21/2024,9.5,Other,2500,3000,2800
Bahadurgarh,2/24/2024,13.1,Other,2000,3000,2500
Bahadurgarh,2/25/2024,11.4,Other,2200,2500,2400
Bahadurgarh,2/26/2024,9,Other,1800,2500,2000
Ballabhgarh,2/2/2024,7.2,Other,1500,3000,2000
Ballabhgarh,2/3/2024,5.9,Other,2200,2500,2500
Ballabhgarh,2/4/2024,4,Other,1500,2200,1800
Ballabhgarh,2/5/2024,4,Other,1500,2200,1700
Ballabhgarh,2/6/2024,5.6,Other,1800,2200,2000
Ballabhgarh,2/7/2024,5.6,Other,1400,2000,2000
Ballabhgarh,2/8/2024,11.3,Other,1200,2000,1700
Ballabhgarh,2/9/2024,6.5,Other,1800,2000,2000
Ballabhgarh,2/11/2024,7.6,Other,1500,1800,1800
Ballabhgarh,2/12/2024,15.3,Other,1200,1600,1500
Ballabhgarh,2/13/2024,9.7,Other,1500,2500,1800
Ballabhgarh,2/16/2024,5,Other,1500,2000,1500
Ballabhgarh,2/17/2024,3.1,Other,1500,2200,2000
Ballabhgarh,2/18/2024,3,Other,2000,2500,2200
Ballabhgarh,2/19/2024,4.5,Other,2000,2500,2200
Ballabhgarh,2/20/2024,4.6,Other,1500,2000,2000
Ballabhgarh,2/21/2024,6,Other,2000,2700,2500
Ballabhgarh,2/23/2024,6.3,Other,1600,2000,1800
Ballabhgarh,2/24/2024,5.4,Other,1300,1800,1600
Ballabhgarh,2/25/2024,4.5,Other,1500,2000,2000
Ballabhgarh,2/26/2024,7,Other,1600,2000,2000
Ballabhgarh,2/29/2024,3.7,Other,1300,2200,2000
Barara,2/1/2024,0.77,Other,1300,1500,1300
Barara,2/2/2024,1.19,Other,1200,1300,1200
Barara,2/3/2024,0.97,Other,1500,1600,1500
Barara,2/5/2024,1.73,Other,1100,1400,1100
Barara,2/6/2024,1.51,Other,1200,1400,1200
Barara,2/7/2024,1.53,Other,1000,1100,1000
Barara,2/8/2024,1.85,Other,1100,2000,1100
Barara,2/9/2024,1.79,Other,1300,1500,1300
Barara,2/10/2024,0.6,Other,800,1000,800
Barara,2/12/2024,1.01,Other,1400,1500,1400
Barara,2/13/2024,1.34,Other,1300,1400,1300
Barara,2/14/2024,1.35,Other,1200,1300,1200
Barara,2/15/2024,0.84,Other,1200,1300,1200
Barara,2/16/2024,0.73,Other,1200,1400,1200
Barara,2/17/2024,1.66,Other,1300,1500,1300
Barara,2/19/2024,1.33,Other,1200,1400,1200
Barara,2/20/2024,1.34,Other,1200,1500,1200
Barara,2/21/2024,1.09,Other,1200,1700,1200
Barara,2/22/2024,1.1,Other,1000,1500,1000
Barara,2/23/2024,1.36,Other,1000,1500,1000
Barara,2/24/2024,1.12,Other,1200,1500,1200
Barara,2/26/2024,1.64,Other,1300,1400,1300
Barara,2/27/2024,1.57,Other,1200,1500,1200
Barara,2/28/2024,1.45,Other,1400,1500,1400
Barara,2/29/2024,1.02,Other,1400,1500,1400
Barwala,2/1/2024,12,Other,1500,2000,1750
Barwala,2/2/2024,14.95,Other,1500,2000,1750
Barwala,2/3/2024,12,Other,1500,2000,1750
Barwala,2/4/2024,21,Other,1500,2000,1750
Barwala,2/5/2024,21,Other,1400,2000,1700
Barwala,2/6/2024,20,Other,1500,2000,1750
Barwala,2/7/2024,18,Other,2000,2000,2000
Barwala,2/8/2024,16,Other,2000,2500,2250
Barwala,2/9/2024,14,Other,2000,2500,2250
Barwala,2/10/2024,20,Other,1200,1500,1350
Barwala,2/11/2024,21,Other,1200,1600,1400
Barwala,2/12/2024,20.5,Other,1200,1400,1300
Barwala,2/13/2024,22,Other,1000,1500,1250
Barwala,2/14/2024,20,Other,1000,1500,1250
Barwala,2/15/2024,16,Other,1000,1400,1200
Barwala,2/16/2024,16,Other,1000,1500,1250
Barwala,2/17/2024,16,Other,1500,2000,1750
Barwala,2/18/2024,12,Other,1500,2000,1750
Barwala,2/19/2024,12,Other,1500,2000,1750
Barwala,2/20/2024,11,Other,1500,2000,1750
Barwala,2/21/2024,10,Other,1500,2000,1750
Barwala,2/22/2024,16,Other,1200,2000,1600
Barwala,2/23/2024,18,Other,1200,2000,1600
Barwala,2/24/2024,16,Other,1500,2000,1750
Barwala,2/25/2024,16,Other,1200,2000,1600
Barwala,2/26/2024,8,Other,1500,2000,1750
