Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,6/2/2024,9,Other,1000,1500,1200
Ambala Cantt.,6/7/2024,1.5,Other,400,680,500
Ambala Cantt.,6/8/2024,12,Other,400,700,600
Ambala Cantt.,6/14/2024,8.5,Other,500,800,600
Ambala Cantt.,6/19/2024,8.5,Other,1200,2000,1500
Ambala Cantt.,6/20/2024,9.9,Other,1200,2000,1500
Ambala Cantt.,6/21/2024,11,Other,1200,2000,1500
Ambala Cantt.,6/24/2024,9.8,Other,1000,1500,1200
Ambala Cantt.,6/26/2024,8.8,Other,1200,2000,1500
Ambala Cantt.,6/27/2024,9,Other,1200,2000,1500
Ballabhgarh,6/2/2024,4.5,Other,500,800,700
Ballabhgarh,6/5/2024,5,Other,700,1000,1000
Ballabhgarh,6/6/2024,5,Other,1000,1200,1100
Ballabhgarh,6/7/2024,6.5,Other,800,1000,900
Ballabhgarh,6/8/2024,4.5,Other,1000,1500,1200
Ballabhgarh,6/10/2024,4,Other,800,1200,1000
Ballabhgarh,6/11/2024,8,Other,1200,1400,1300
Ballabhgarh,6/13/2024,8.7,Other,1000,1200,1000
Ballabhgarh,6/14/2024,5.6,Other,1500,1800,1700
Ballabhgarh,6/15/2024,6.4,Other,1200,1500,1300
Ballabhgarh,6/17/2024,4.5,Other,1000,1500,1200
Ballabhgarh,6/20/2024,5.5,Other,2000,2500,2200
Ballabhgarh,6/21/2024,5.2,Other,1800,2500,2000
Ballabhgarh,6/22/2024,6,Other,2500,3200,3000
Ballabhgarh,6/23/2024,7.7,Other,1000,2700,1500
Ballabhgarh,6/24/2024,9.5,Other,1500,2500,1800
Ballabhgarh,6/25/2024,7.2,Other,1500,2000,1800
Ballabhgarh,6/27/2024,3.7,Other,1000,2500,2000
Ballabhgarh,6/28/2024,4,Other,2000,2500,2200
Ballabhgarh,6/29/2024,4.2,Other,1000,2200,1500
Ballabhgarh,6/30/2024,7,Other,1000,3000,2000
Barara,6/1/2024,0.6,Other,1000,1500,1500
Barara,6/3/2024,0.75,Other,1000,1500,1000
