Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,3/1/2024,9,Other,800,1500,1200
Ambala Cantt.,3/2/2024,11,Other,1000,1500,1200
Ambala Cantt.,3/5/2024,8.9,Other,1200,2000,1500
Ambala Cantt.,3/6/2024,8.5,Other,1200,2000,1500
Ambala Cantt.,3/7/2024,8.7,Other,1200,2000,1500
Ambala Cantt.,3/8/2024,8.5,Other,1000,1600,1200
Ambala Cantt.,3/10/2024,8.9,Other,1200,2000,1600
Ambala Cantt.,3/12/2024,8.5,Other,1200,2000,1800
Ambala Cantt.,3/13/2024,7.5,Other,1000,2000,1500
Ambala Cantt.,3/14/2024,8.5,Other,1000,2000,1500
Ambala Cantt.,3/15/2024,11,Other,1000,2000,1500
Ambala Cantt.,3/17/2024,8,Other,1000,2000,1500
Ambala Cantt.,3/20/2024,8.5,Other,1000,2000,1500
Ambala Cantt.,3/21/2024,8.5,Other,1400,2400,1800
Ambala Cantt.,3/22/2024,7.5,Other,1500,2000,1800
Ambala Cantt.,3/26/2024,8,Other,1200,2000,1500
Ambala Cantt.,3/27/2024,12,Other,1000,2000,1500
Ambala Cantt.,3/30/2024,2.5,Other,1000,2000,1500
Ambala City(Subji Mandi),3/4/2024,11.5,Other,1500,3000,2000
Ambala City(Subji Mandi),3/6/2024,11,Other,1500,3000,2000
Ambala City(Subji Mandi),3/11/2024,16.3,Other,1500,3000,2000
Ambala City(Subji Mandi),3/13/2024,11.1,Other,1500,3500,2000
Ambala City(Subji Mandi),3/14/2024,7.2,Other,1500,3000,2000
Ambala City(Subji Mandi),3/18/2024,7.2,Other,1500,3000,2000
Ambala City(Subji Mandi),3/21/2024,6.3,Other,1500,3500,2000
Ambala City(Subji Mandi),3/22/2024,7.53,Other,1500,3500,2000
Ambala City(Subji Mandi),3/27/2024,5.2,Other,1500,3000,2000
Ambala City(Subji Mandi),3/30/2024,12.7,Other,1500,3500,2000
Bahadurgarh,3/4/2024,5.5,Other,2500,3300,3000
Ballabhgarh,3/2/2024,9.5,Other,1200,2500,2300
Ballabhgarh,3/3/2024,4,Other,1500,2000,1800
Ballabhgarh,3/4/2024,3,Other,1800,2200,2000
Ballabhgarh,3/6/2024,2,Other,2000,2500,2500
Ballabhgarh,3/7/2024,4.5,Other,2400,2700,2500
Ballabhgarh,3/9/2024,4,Other,1800,2200,2000
Ballabhgarh,3/11/2024,5.9,Other,1500,3300,2500
Ballabhgarh,3/12/2024,9.1,Other,2500,3500,3000
Ballabhgarh,3/13/2024,4.8,Other,1500,2800,2700
Ballabhgarh,3/15/2024,7,Other,2000,3200,2500
Ballabhgarh,3/16/2024,9.2,Other,2000,2800,2500
Ballabhgarh,3/18/2024,10.1,Other,2200,2500,2200
Ballabhgarh,3/20/2024,4,Other,1500,2500,2000
Ballabhgarh,3/21/2024,7,Other,1500,2500,2200
Ballabhgarh,3/22/2024,6.1,Other,2000,2300,2200
Ballabhgarh,3/26/2024,6,Other,2000,2500,2300
Ballabhgarh,3/27/2024,13.7,Other,1700,2500,2200
Ballabhgarh,3/28/2024,9.6,Other,2000,2300,2200
Ballabhgarh,3/29/2024,13.7,Other,1500,2200,2000
Ballabhgarh,3/30/2024,8,Other,1500,1800,1600
Barara,3/1/2024,0.9,Other,1200,1500,1200
Barara,3/2/2024,1.1,Other,1400,1500,1400
Barara,3/4/2024,0.7,Other,1200,1500,1200
Barara,3/5/2024,1.3,Other,1300,1500,1300
Barara,3/6/2024,1.2,Other,1000,1400,1000
Barara,3/9/2024,1.2,Other,1400,1500,1400
Barara,3/11/2024,1.24,Other,1200,1400,1200
Barara,3/12/2024,0.96,Other,1300,1400,1300
Barara,3/13/2024,1,Other,1200,1500,1200
Barara,3/14/2024,1.12,Other,1300,1500,1300
Barara,3/15/2024,1.12,Other,1600,1800,1600
Barara,3/16/2024,0.78,Other,1400,1500,1400
Barara,3/18/2024,0.8,Other,1400,1500,1400
Barara,3/19/2024,0.66,Other,1300,1400,1300
Barara,3/20/2024,1.15,Other,1300,1500,1300
Barara,3/21/2024,0.98,Other,1200,1500,1200
Barara,3/22/2024,0.75,Other,1400,1800,1400
Barara,3/23/2024,1.1,Other,1500,1600,1500
Barara,3/25/2024,1.1,Other,1400,1500,1400
Barara,3/26/2024,0.95,Other,1300,1600,1300
Barara,3/27/2024,0.92,Other,1300,1700,1300
Barara,3/28/2024,1.06,Other,1200,1500,1200
Barara,3/29/2024,0.65,Other,1200,1600,1200
Barwala,3/1/2024,19.5,Other,1500,2000,1750
Barwala,3/2/2024,16,Other,1500,2000,1750
Barwala,3/3/2024,11,Other,1500,2000,1750
Barwala,3/4/2024,14,Other,2000,2500,2250
Barwala,3/5/2024,15,Other,2000,2500,2250
Barwala,3/6/2024,12,Other,2000,2500,2250
Barwala,3/7/2024,11,Other,2000,2500,2250
Barwala,3/8/2024,9,Other,2000,2400,2200
Barwala,3/9/2024,13,Other,2000,2500,2250
Barwala,3/12/2024,16,Other,2000,2000,2000
Barwala,3/13/2024,17.7,Other,2000,2000,2000
Barwala,3/14/2024,16,Other,2000,2000,2000
Barwala,3/15/2024,12,Other,2000,2000,2000
Barwala,3/16/2024,14,Other,2000,2000,2000
Barwala,3/17/2024,12,Other,2000,2000,2000
Barwala,3/18/2024,12,Other,2000,2000,2000
Barwala,3/19/2024,15.5,Other,2000,2000,2000
Barwala,3/20/2024,14,Other,2000,2000,2000
Barwala,3/21/2024,14,Other,2000,2000,2000
Barwala,3/22/2024,25,Other,1500,2000,1750
Barwala,3/23/2024,21,Other,1500,2500,2000
