Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,5/8/2024,6.8,Other,700,1200,800
Ambala Cantt.,5/10/2024,8.9,Other,700,1200,800
Ambala Cantt.,5/15/2024,8.9,Other,700,1200,800
Ambala Cantt.,5/16/2024,8.5,Other,1000,1300,1200
Ambala Cantt.,5/17/2024,9.8,Other,700,1200,800
Ambala Cantt.,5/23/2024,8.7,Other,700,800,750
Ambala Cantt.,5/24/2024,8.9,Other,700,1200,1100
Ambala Cantt.,5/25/2024,1.5,Other,700,1200,1000
Ambala Cantt.,5/26/2024,8.8,Other,700,1200,800
Ambala Cantt.,5/28/2024,8.9,Other,700,1200,800
Ambala Cantt.,5/29/2024,2.5,Other,400,700,500
Ambala Cantt.,5/31/2024,9.5,Other,400,700,600
Ballabhgarh,5/2/2024,2.8,Other,1200,1500,1300
Ballabhgarh,5/6/2024,5,Other,1000,1700,1200
Ballabhgarh,5/7/2024,4.6,Other,700,1000,800
Ballabhgarh,5/8/2024,6,Other,1000,1400,1200
Ballabhgarh,5/9/2024,7,Other,1000,1400,1200
Ballabhgarh,5/12/2024,4,Other,800,1200,1000
Ballabhgarh,5/13/2024,3.5,Other,700,1000,800
Ballabhgarh,5/14/2024,8,Other,600,800,700
Ballabhgarh,5/17/2024,4.2,Other,800,1200,1000
Ballabhgarh,5/20/2024,5,Other,500,800,700
Ballabhgarh,5/21/2024,6.4,Other,800,1200,1000
Ballabhgarh,5/22/2024,3,Other,800,1200,1000
Ballabhgarh,5/23/2024,4.8,Other,1000,1400,1200
Ballabhgarh,5/24/2024,4.5,Other,1000,1500,1200
Ballabhgarh,5/25/2024,4,Other,1200,1600,1400
Ballabhgarh,5/26/2024,4.5,Other,700,1000,800
Ballabhgarh,5/28/2024,7,Other,1000,1200,1000
Ballabhgarh,5/29/2024,5.8,Other,1000,1200,1000
Ballabhgarh,5/30/2024,3.5,Other,700,1000,800
Ballabhgarh,5/31/2024,3.8,Other,800,1200,1000
Barara,5/1/2024,0.85,Other,1500,2000,1500
Barara,5/2/2024,1,Other,1300,1800,1300
Barara,5/3/2024,0.8,Other,1300,2000,1300
Barara,5/4/2024,0.9,Other,1500,1800,1500
Barara,5/6/2024,0.64,Other,1300,1600,1300
Barara,5/7/2024,1.23,Other,1200,1400,1200
Barara,5/8/2024,0.97,Other,1500,2000,1500
Barara,5/9/2024,1.4,Other,1500,1800,1500
Barara,5/10/2024,0.64,Other,1200,1600,1200
Barara,5/11/2024,0.85,Other,1300,1800,1300
Barara,5/13/2024,1.5,Other,1000,1200,1000
Barara,5/14/2024,0.8,Other,1100,1200,1100
Barara,5/15/2024,0.8,Other,1000,1400,1000
Barara,5/16/2024,0.6,Other,1000,1100,1000
Barara,5/17/2024,0.65,Other,1000,1500,1000
Barara,5/18/2024,0.5,Other,1000,1500,1200
Barara,5/20/2024,1,Other,1100,1500,1100
Barara,5/21/2024,1.2,Other,1000,1500,1000
Barara,5/22/2024,1,Other,1200,2000,1200
Barara,5/23/2024,1,Other,1000,1300,1300
Barara,5/24/2024,0.9,Other,1000,1500,1000
Barara,5/25/2024,1.2,Other,1200,1500,1200
Barara,5/27/2024,1,Other,1000,1200,1200
Barara,5/28/2024,0.6,Other,1000,1200,1000
Barara,5/29/2024,1.5,Other,1000,1200,1000
