Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,11/1/2024,8.9,Other,2500,3500,3200
Ambala Cantt.,11/3/2024,8.9,Other,2200,3500,3000
Ambala Cantt.,11/7/2024,8.4,Other,2500,3500,3000
Ambala Cantt.,11/8/2024,8.9,Other,2500,3500,2800
Ambala Cantt.,11/12/2024,9.8,Other,2500,3500,3000
Ballabhgarh,11/2/2024,3.5,Other,1200,1800,1500
Ballabhgarh,11/3/2024,3.8,Other,3000,4000,3500
Ballabhgarh,11/4/2024,8.5,Other,2000,4200,3300
Ballabhgarh,11/5/2024,5,Other,2500,3000,2700
Ballabhgarh,11/6/2024,9.8,Other,2200,4000,3000
Ballabhgarh,11/7/2024,2,Other,3000,3500,3200
Ballabhgarh,11/8/2024,4.5,Other,2000,2500,2200
Ballabhgarh,11/9/2024,7.5,Other,2000,3500,2500
Ballabhgarh,11/10/2024,3.8,Other,2000,3500,3200
Ballabhgarh,11/12/2024,9.5,Other,2000,3500,3000
Ballabhgarh,11/13/2024,4.5,Other,2500,3500,3000
Barara,11/1/2024,0.25,Other,2000,2500,2500
Barara,11/2/2024,0.3,Other,2500,3000,3000
Barara,11/5/2024,0.4,Other,2500,2800,2800
Barara,11/6/2024,0.3,Other,2500,3000,3000
Barara,11/7/2024,0.31,Other,2800,3500,3500
Barara,11/8/2024,0.35,Other,2800,3000,3000
Barara,11/11/2024,0.2,Other,2800,3500,3500
Barara,11/12/2024,0.21,Other,2500,3500,3500
Barwala,11/1/2024,10,Other,4000,5000,4500
Barwala,11/2/2024,8,Other,4000,5000,4500
Barwala,11/3/2024,7,Other,4000,5000,4500
Barwala,11/4/2024,6,Other,4000,5000,4500
Barwala,11/5/2024,19,Other,3000,3000,3000
Barwala,11/6/2024,18,Other,3000,3500,3250
Barwala,11/7/2024,16,Other,3000,3500,3250
Barwala,11/8/2024,12,Other,3000,3500,3250
Barwala,11/9/2024,11,Other,3000,3500,3250
Barwala,11/10/2024,11,Other,3000,3500,3250
Barwala,11/11/2024,10,Other,3000,3500,3250
Barwala,11/12/2024,7,Other,3000,3500,3250
Barwala,11/13/2024,6,Other,3000,3500,3250
Barwala(Hisar),11/1/2024,0.6,Other,2500,3000,2800
Barwala(Hisar),11/2/2024,1.4,Other,2500,3000,2800
Barwala(Hisar),11/3/2024,2.6,Other,2500,3000,2800
Barwala(Hisar),11/4/2024,2.6,Other,2500,3000,2800
Barwala(Hisar),11/5/2024,2.1,Other,3000,3100,3100
Barwala(Hisar),11/6/2024,0.9,Other,2500,3000,2800
Barwala(Hisar),11/7/2024,1.6,Other,2500,3500,2800
Barwala(Hisar),11/8/2024,2.5,Other,2000,2500,2400
Barwala(Hisar),11/9/2024,3.4,Other,2000,2500,2200
Barwala(Hisar),11/11/2024,1.5,Other,2000,2500,2400
Barwala(Hisar),11/12/2024,2.1,Other,2000,2500,2400
Barwala(Hisar),11/13/2024,1.6,Other,2000,2500,2400
Ch. Dadri,11/2/2024,3.7,Other,2200,3000,2600
Ch. Dadri,11/3/2024,4.6,Other,2000,4000,3000
Ch. Dadri,11/5/2024,3,Other,2500,3000,2750
Ch. Dadri,11/7/2024,3.4,Other,2800,4000,3400
Ch. Dadri,11/8/2024,2.8,Other,2500,4000,3250
Chhachrauli,11/1/2024,0.07,Tomato,3300,3300,3300
Chhachrauli,11/2/2024,0.05,Tomato,3200,3200,3200
Chhachrauli,11/3/2024,0.06,Tomato,3300,3300,3300
Chhachrauli,11/4/2024,0.07,Tomato,4000,4000,4000
Chhachrauli,11/6/2024,0.18,Tomato,3000,4000,3000
Chhachrauli,11/7/2024,0.1,Tomato,3200,3200,3200
Chhachrauli,11/9/2024,0.15,Tomato,3000,3500,3000
Chhachrauli,11/10/2024,0.07,Tomato,3400,3400,3400
Chhachrauli,11/12/2024,0.05,Tomato,3600,3600,3600
Chhachrauli,11/13/2024,0.05,Tomato,3500,3500,3500
Dhand,11/1/2024,0.2,Deshi,3000,3300,3200
Dhand,11/2/2024,0.2,Deshi,3000,3200,3150
Dhand,11/3/2024,0.1,Deshi,4000,4200,4170
Dhand,11/5/2024,0.3,Deshi,3000,4000,3800
