Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,10/2/2024,9.8,Other,2000,2500,2200
Ambala Cantt.,10/3/2024,9.8,Other,2000,2500,2100
Ambala Cantt.,10/6/2024,5.5,Other,2500,4000,3500
Ambala Cantt.,10/7/2024,8.9,Other,2500,4000,3500
Ambala Cantt.,10/9/2024,6.5,Other,3500,5000,4500
Ambala Cantt.,10/11/2024,8.9,Other,2500,4500,3500
Ambala Cantt.,10/17/2024,1.6,Other,2500,3500,3000
Ambala Cantt.,10/18/2024,12,Other,2500,3500,2800
Ambala Cantt.,10/19/2024,9.5,Other,2500,3500,3000
Ambala Cantt.,10/20/2024,8.6,Other,2500,3500,2900
Ambala Cantt.,10/22/2024,8.5,Other,2500,4500,3500
Ambala Cantt.,10/24/2024,10,Other,2500,3500,3200
Ambala Cantt.,10/31/2024,8.9,Other,2500,3500,3000
Bahadurgarh,10/1/2024,9.5,Other,2500,4000,3500
Bahadurgarh,10/3/2024,7.6,Other,2500,5000,3500
Bahadurgarh,10/4/2024,7,Other,4000,5000,4500
Bahadurgarh,10/5/2024,8.4,Other,2500,4000,3500
Bahadurgarh,10/7/2024,5.5,Other,2500,4500,3500
Bahadurgarh,10/8/2024,6,Other,2500,4500,3500
Bahadurgarh,10/9/2024,9.1,Other,2500,4000,3500
Bahadurgarh,10/10/2024,6.4,Other,2500,3800,3500
Bahadurgarh,10/11/2024,9,Other,3000,3500,3200
Bahadurgarh,10/12/2024,6,Other,3000,3500,3200
Bahadurgarh,10/13/2024,5.2,Other,3000,3500,3200
Bahadurgarh,10/14/2024,9.1,Other,3000,3500,3200
Bahadurgarh,10/15/2024,12.2,Other,3000,3500,3200
Bahadurgarh,10/16/2024,5.7,Other,2800,3400,3200
Bahadurgarh,10/18/2024,4.5,Other,2500,3200,3000
Bahadurgarh,10/19/2024,5.6,Other,2600,3200,3000
Bahadurgarh,10/24/2024,7.3,Other,2800,3400,3200
Ballabhgarh,10/1/2024,8.5,Other,6000,6500,6200
Ballabhgarh,10/2/2024,9.5,Other,3500,4500,4000
Ballabhgarh,10/3/2024,8,Other,3500,6000,5000
Ballabhgarh,10/6/2024,4,Other,4500,7000,6000
Ballabhgarh,10/7/2024,6.7,Other,7000,9000,8000
Ballabhgarh,10/8/2024,6.5,Other,6000,7000,6500
Ballabhgarh,10/9/2024,3.2,Other,4000,6500,6000
Ballabhgarh,10/10/2024,8.8,Other,4000,6000,4500
Ballabhgarh,10/11/2024,6.5,Other,3500,6000,4500
Ballabhgarh,10/12/2024,8,Other,5000,6000,5500
Ballabhgarh,10/13/2024,4,Other,6000,7000,6500
Ballabhgarh,10/14/2024,5.8,Other,3000,7000,6000
Ballabhgarh,10/15/2024,3.2,Other,3000,5000,4000
Ballabhgarh,10/16/2024,3.7,Other,3500,4000,3500
Ballabhgarh,10/19/2024,4,Other,6000,7000,6500
Ballabhgarh,10/20/2024,4.8,Other,6000,7000,6000
Ballabhgarh,10/21/2024,5.2,Other,3500,4500,4000
Ballabhgarh,10/22/2024,6.6,Other,3500,5000,4500
Ballabhgarh,10/25/2024,3.5,Other,2500,3000,2800
Ballabhgarh,10/26/2024,4,Other,2500,3000,2800
Ballabhgarh,10/28/2024,6.5,Other,2000,4000,3500
Ballabhgarh,10/29/2024,4,Other,2000,3000,2500
Ballabhgarh,10/30/2024,6.3,Other,2000,3500,3000
Ballabhgarh,10/31/2024,4.6,Other,1500,2000,1800
Barara,10/1/2024,0.16,Other,1800,2200,2200
Barara,10/2/2024,0.3,Other,2000,2200,2200
Barara,10/3/2024,0.3,Other,2200,2480,2200
Barara,10/4/2024,0.4,Other,2000,2500,2500
Barara,10/5/2024,0.36,Other,2000,2500,2500
Barara,10/7/2024,0.4,Other,2500,2800,2800
