Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,9/3/2024,8.6,Other,1500,2600,2200
Ambala Cantt.,9/4/2024,8.5,Other,1300,2200,1500
Ambala Cantt.,9/5/2024,8.9,Other,1800,2200,2000
Ambala Cantt.,9/6/2024,8.6,Other,1300,2200,1500
Ambala Cantt.,9/8/2024,8.5,Other,1300,2200,1500
Ambala Cantt.,9/13/2024,9.5,Other,1300,2200,2000
Ambala Cantt.,9/17/2024,8.9,Other,1300,2200,1500
Ambala Cantt.,9/18/2024,1.3,Other,1300,2200,1800
Ambala Cantt.,9/20/2024,9.8,Other,1300,2500,2200
Ambala Cantt.,9/21/2024,8.5,Other,2000,2500,2200
Ambala Cantt.,9/22/2024,8.9,Other,2000,2500,2200
Ambala Cantt.,9/29/2024,6.8,Other,2000,2500,2200
Bahadurgarh,9/1/2024,9,Other,2300,2500,2400
Bahadurgarh,9/6/2024,15.1,Other,3000,3500,3200
Bahadurgarh,9/7/2024,7,Other,3000,3500,3200
Bahadurgarh,9/9/2024,12.3,Other,3000,3500,3200
Bahadurgarh,9/10/2024,11.5,Other,3000,3500,3200
Bahadurgarh,9/11/2024,12.1,Other,3000,3500,3200
Bahadurgarh,9/13/2024,11.2,Other,3000,3500,3200
Bahadurgarh,9/14/2024,10.5,Other,3000,3500,3200
Bahadurgarh,9/15/2024,12,Other,3000,3500,3200
Bahadurgarh,9/16/2024,4.3,Other,3000,3500,3200
Bahadurgarh,9/17/2024,7.8,Other,2500,4500,3000
Bahadurgarh,9/18/2024,13,Other,2500,4500,3500
Bahadurgarh,9/19/2024,12.5,Other,2500,4500,3500
Bahadurgarh,9/20/2024,4,Other,2500,4500,3000
Bahadurgarh,9/21/2024,11,Other,2500,4000,3500
Bahadurgarh,9/23/2024,2.4,Other,4500,6000,5000
Bahadurgarh,9/24/2024,10,Other,4500,4700,4600
Bahadurgarh,9/25/2024,9.2,Other,4500,6000,5000
Bahadurgarh,9/27/2024,7.7,Other,4000,5000,4500
Bahadurgarh,9/28/2024,6.9,Other,4500,4700,4600
Bahadurgarh,9/30/2024,12,Other,2500,4000,3500
Ballabhgarh,9/3/2024,6.5,Other,2500,3000,2800
Ballabhgarh,9/5/2024,3.4,Other,2500,3500,3200
Ballabhgarh,9/6/2024,4.7,Other,1500,2200,2000
Ballabhgarh,9/7/2024,4.5,Other,2500,3500,3000
Ballabhgarh,9/8/2024,4.5,Other,1700,2500,2000
Ballabhgarh,9/9/2024,5.2,Other,1600,2500,2000
Ballabhgarh,9/10/2024,7.6,Other,1500,2500,2000
Ballabhgarh,9/11/2024,3.5,Other,2000,3000,2500
Ballabhgarh,9/13/2024,2.8,Other,1400,1800,1500
Ballabhgarh,9/14/2024,7.3,Other,1500,2500,2000
Ballabhgarh,9/15/2024,8.9,Other,3000,3200,3000
Ballabhgarh,9/16/2024,7.5,Other,1500,1800,1600
Ballabhgarh,9/18/2024,4,Other,3000,3500,3200
Ballabhgarh,9/19/2024,3.8,Other,3000,3800,3500
Ballabhgarh,9/21/2024,9,Other,3000,5000,4000
Ballabhgarh,9/23/2024,5.5,Other,3500,4000,3500
Ballabhgarh,9/24/2024,5,Other,3000,4000,3500
Ballabhgarh,9/25/2024,3.5,Other,3000,3500,3200
Ballabhgarh,9/26/2024,6.3,Other,3000,3500,3200
Ballabhgarh,9/27/2024,6.5,Other,3000,3500,3200
Ballabhgarh,9/28/2024,6,Other,2500,3500,3000
Ballabhgarh,9/29/2024,7,Other,4000,6000,5500
Ballabhgarh,9/30/2024,7.8,Other,6000,6500,6200
Barara,9/2/2024,0.45,Other,1500,2500,2500
Barara,9/3/2024,0.52,Other,1800,2500,2500
Barara,9/4/2024,0.34,Other,1800,2500,2200
Barara,9/5/2024,0.35,Other,1500,2500,2500
Barara,9/6/2024,0.6,Other,1500,2500,2500
Barara,9/7/2024,0.31,Other,1800,2200,2200
Barara,9/9/2024,0.52,Other,1500,2500,2500
Barara,9/10/2024,0.35,Other,1500,2000,2000
Barara,9/11/2024,0.36,Other,1500,2000,2000
Barara,9/12/2024,0.21,Other,1800,2500,2500
Barara,9/13/2024,0.34,Other,1800,2200,2200
Barara,9/14/2024,0.34,Other,1800,2000,2000
Barara,9/16/2024,0.32,Other,1500,2500,2500
Barara,9/17/2024,0.34,Other,1800,2500,2500
Barara,9/18/2024,0.31,Other,1500,2000,2000
Barara,9/19/2024,0.28,Other,2000,2500,2500
Barara,9/20/2024,0.32,Other,1800,2200,2200
Barara,9/21/2024,0.3,Other,2000,2500,2500
Barara,9/23/2024,0.26,Other,1800,2500,2500
Barara,9/24/2024,0.26,Other,2000,3000,3000
Barara,9/25/2024,0.2,Other,2000,2500,2500
Barara,9/26/2024,0.18,Other,1800,2500,2500
Barara,9/27/2024,0.26,Other,1800,2500,2500
Barara,9/28/2024,0.26,Other,1800,2200,2200
Barara,9/30/2024,0.21,Other,1800,2250,2250
Barwala,9/3/2024,30,Other,2000,3000,2500
Barwala,9/4/2024,22,Other,2000,2500,2250
Barwala,9/5/2024,20,Other,2000,2500,2250
Barwala,9/6/2024,22,Other,2000,2500,2250
Barwala,9/7/2024,20,Other,2000,2500,2250
Barwala,9/8/2024,12,Other,2000,2500,2250
Barwala,9/9/2024,14,Other,2000,2500,2250
Barwala,9/10/2024,11,Other,2000,2500,2250
Barwala,9/11/2024,10,Other,2000,2500,2250
Barwala,9/12/2024,10,Other,2000,2500,2250
Barwala,9/13/2024,11,Other,2000,2500,2250
Barwala,9/14/2024,18,Other,2000,2500,2250
Barwala,9/15/2024,20,Other,2500,2500,2500
Barwala,9/16/2024,20,Other,2500,2500,2500
Barwala,9/17/2024,19,Other,2500,2500,2500
Barwala,9/18/2024,12,Other,2500,2500,2500
Barwala,9/19/2024,10,Other,2500,2500,2500
Barwala,9/20/2024,17,Other,4000,4000,4000
Barwala,9/21/2024,10,Other,4000,4000,4000
Barwala,9/22/2024,8,Other,4000,4500,4250
Barwala,9/23/2024,7,Other,4000,4000,4000
Barwala,9/24/2024,7,Other,4000,4000,4000
Barwala,9/25/2024,5,Other,3500,4000,3750
Barwala,9/26/2024,4,Other,3500,4000,3750
Barwala,9/27/2024,4,Other,3500,4000,3750
Barwala,9/28/2024,5,Other,3500,4500,4000
Barwala(Hisar),9/1/2024,3.1,Other,1500,2000,1800
Barwala(Hisar),9/2/2024,1.9,Other,1700,1800,1800
Barwala(Hisar),9/3/2024,2.6,Other,1800,2000,1900
Barwala(Hisar),9/4/2024,0.7,Other,2000,2800,2500
Barwala(Hisar),9/5/2024,3.2,Other,2000,2600,2400
Barwala(Hisar),9/6/2024,1.6,Other,2400,2500,2500
Barwala(Hisar),9/7/2024,2.1,Other,2000,2500,2400
Barwala(Hisar),9/8/2024,2.2,Other,2000,2500,2400
Barwala(Hisar),9/9/2024,2.6,Other,2000,2500,2400
Barwala(Hisar),9/10/2024,1.4,Other,2000,2500,2400
Barwala(Hisar),9/11/2024,1.5,Other,2000,2500,2400
Barwala(Hisar),9/12/2024,2.7,Other,2000,2500,2400
Barwala(Hisar),9/13/2024,2.7,Other,2000,2500,2400
Barwala(Hisar),9/14/2024,1.5,Other,2000,2500,2400
Barwala(Hisar),9/15/2024,1.3,Other,1800,2500,2000
Barwala(Hisar),9/16/2024,2.1,Other,2000,2500,2400
Barwala(Hisar),9/17/2024,1.8,Other,1800,2000,1900
Barwala(Hisar),9/18/2024,1,Other,2000,2500,2400
Barwala(Hisar),9/19/2024,2,Other,2500,3000,2800
Barwala(Hisar),9/20/2024,1.4,Other,3000,3100,3100
Barwala(Hisar),9/22/2024,2.5,Other,2600,3000,2800
Barwala(Hisar),9/23/2024,2.9,Other,3000,3500,3200
Barwala(Hisar),9/24/2024,0.2,Other,2000,2500,2400
Barwala(Hisar),9/25/2024,2.2,Other,3000,3500,3300
Barwala(Hisar),9/26/2024,1.5,Other,3000,3500,3200
Barwala(Hisar),9/27/2024,1.1,Other,3000,3500,3300
Barwala(Hisar),9/28/2024,1.7,Other,3000,3500,3300
Barwala(Hisar),9/29/2024,1.9,Other,3500,4000,3800
Bhiwani,9/1/2024,0.4,Tomato,3000,3500,3200
Bhiwani,9/2/2024,0.5,Tomato,2540,3000,2870
Bhiwani,9/4/2024,0.5,Tomato,2540,3450,3000
Bhiwani,9/6/2024,1.9,Tomato,2350,3510,3000
Bhiwani,9/7/2024,2.4,Tomato,2410,3200,2840
Bhiwani,9/9/2024,1.1,Tomato,2540,3520,3000
Bhiwani,9/10/2024,0.35,Tomato,2560,3510,3100
Bhiwani,9/11/2024,0.5,Tomato,2540,3500,3280
Bhiwani,9/15/2024,0.9,Tomato,2540,3120,2980
Bhiwani,9/16/2024,0.8,Tomato,2240,2980,2540
Bhiwani,9/17/2024,0.2,Tomato,2240,3000,2530
Bhiwani,9/18/2024,1,Tomato,2250,2890,2504
Bhiwani,9/19/2024,1.4,Tomato,2250,2540,2360
Bhiwani,9/20/2024,0.9,Tomato,2210,2650,2350
Bhiwani,9/24/2024,2,Tomato,2210,2540,2360
Bhiwani,9/25/2024,1,Tomato,2230,2980,2540
Bhiwani,9/27/2024,0.2,Tomato,2140,2540,2365
Bhiwani,9/29/2024,0.55,Tomato,2140,2540,2350
Ch. Dadri,9/1/2024,4.9,Other,1600,2800,2200
Ch. Dadri,9/2/2024,2.8,Other,1600,2800,2200
Ch. Dadri,9/3/2024,4.5,Other,2000,3000,2500
Ch. Dadri,9/4/2024,5.3,Other,1800,3500,2650
Ch. Dadri,9/5/2024,3.9,Other,2000,3500,2750
Ch. Dadri,9/6/2024,4.9,Other,1600,2800,2200
Ch. Dadri,9/7/2024,5.9,Other,2000,2600,2300
Ch. Dadri,9/8/2024,3.9,Other,2000,2500,2250
Ch. Dadri,9/9/2024,4.1,Other,1200,3000,2100
Ch. Dadri,9/11/2024,3.8,Other,1800,3000,2800
Ch. Dadri,9/12/2024,4.1,Other,1200,3000,2100
Ch. Dadri,9/13/2024,4.7,Other,2200,3000,2600
Ch. Dadri,9/14/2024,4.4,Other,1200,3000,2100
