Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal)
Ambala Cantt.,01-11-2024,8.9,Other,2500,3500,3200
Ambala Cantt.,03-11-2024,8.9,Other,2200,3500,3000
Ambala Cantt.,07-11-2024,8.4,Other,2500,3500,3000
Ambala Cantt.,08-11-2024,8.9,Other,2500,3500,2800
Ambala Cantt.,12-11-2024,9.8,Other,2500,3500,3000
Ballabhgarh,02-11-2024,3.5,Other,1200,1800,1500
Ballabhgarh,03-11-2024,3.8,Other,3000,4000,3500
Ballabhgarh,04-11-2024,8.5,Other,2000,4200,3300
Ballabhgarh,05-11-2024,5,Other,2500,3000,2700
Ballabhgarh,06-11-2024,9.8,Other,2200,4000,3000
Ballabhgarh,07-11-2024,2,Other,3000,3500,3200
Ballabhgarh,08-11-2024,4.5,Other,2000,2500,2200
Ballabhgarh,09-11-2024,7.5,Other,2000,3500,2500
Ballabhgarh,10-11-2024,3.8,Other,2000,3500,3200
Ballabhgarh,12-11-2024,9.5,Other,2000,3500,3000
Ballabhgarh,13-11-2024,4.5,Other,2500,3500,3000
Barara,01-11-2024,0.25,Other,2000,2500,2500
Barara,02-11-2024,0.3,Other,2500,3000,3000
Barara,05-11-2024,0.4,Other,2500,2800,2800
Barara,06-11-2024,0.3,Other,2500,3000,3000
Barara,07-11-2024,0.31,Other,2800,3500,3500
Barara,08-11-2024,0.35,Other,2800,3000,3000
Barara,11-11-2024,0.2,Other,2800,3500,3500
Barara,12-11-2024,0.21,Other,2500,3500,3500
Barwala,01-11-2024,10,Other,4000,5000,4500
Barwala,02-11-2024,8,Other,4000,5000,4500
Barwala,03-11-2024,7,Other,4000,5000,4500
Barwala,04-11-2024,6,Other,4000,5000,4500
Barwala,05-11-2024,19,Other,3000,3000,3000
Barwala,06-11-2024,18,Other,3000,3500,3250
Barwala,07-11-2024,16,Other,3000,3500,3250
Barwala,08-11-2024,12,Other,3000,3500,3250
Barwala,09-11-2024,11,Other,3000,3500,3250
Barwala,10-11-2024,11,Other,3000,3500,3250
Barwala,11-11-2024,10,Other,3000,3500,3250
Barwala,12-11-2024,7,Other,3000,3500,3250
Barwala,13-11-2024,6,Other,3000,3500,3250
Barwala(Hisar),01-11-2024,0.6,Other,2500,3000,2800
Barwala(Hisar),02-11-2024,1.4,Other,2500,3000,2800
Barwala(Hisar),03-11-2024,2.6,Other,2500,3000,2800
Barwala(Hisar),04-11-2024,2.6,Other,2500,3000,2800
Barwala(Hisar),05-11-2024,2.1,Other,3000,3100,3100
Barwala(Hisar),06-11-2024,0.9,Other,2500,3000,2800
Barwala(Hisar),07-11-2024,1.6,Other,2500,3500,2800
Barwala(Hisar),08-11-2024,2.5,Other,2000,2500,2400
Barwala(Hisar),09-11-2024,3.4,Other,2000,2500,2200
Barwala(Hisar),11-11-2024,1.5,Other,2000,2500,2400
Barwala(Hisar),12-11-2024,2.1,Other,2000,2500,2400
Barwala(Hisar),13-11-2024,1.6,Other,2000,2500,2400
Ch. Dadri,02-11-2024,3.7,Other,2200,3000,2600
Ch. Dadri,03-11-2024,4.6,Other,2000,4000,3000
Ch. Dadri,05-11-2024,3,Other,2500,3000,2750
Ch. Dadri,07-11-2024,3.4,Other,2800,4000,3400
Ch. Dadri,08-11-2024,2.8,Other,2500,4000,3250
Chhachrauli,01-11-2024,0.07,Tomato,3300,3300,3300
Chhachrauli,02-11-2024,0.05,Tomato,3200,3200,3200
Chhachrauli,03-11-2024,0.06,Tomato,3300,3300,3300
Chhachrauli,04-11-2024,0.07,Tomato,4000,4000,4000
Chhachrauli,06-11-2024,0.18,Tomato,3000,4000,3000
Chhachrauli,07-11-2024,0.1,Tomato,3200,3200,3200
Chhachrauli,09-11-2024,0.15,Tomato,3000,3500,3000
Chhachrauli,10-11-2024,0.07,Tomato,3400,3400,3400
Chhachrauli,12-11-2024,0.05,Tomato,3600,3600,3600
Chhachrauli,13-11-2024,0.05,Tomato,3500,3500,3500
Dhand,01-11-2024,0.2,Deshi,3000,3300,3200
Dhand,02-11-2024,0.2,Deshi,3000,3200,3150
Dhand,03-11-2024,0.1,Deshi,4000,4200,4170
Dhand,05-11-2024,0.3,Deshi,3000,4000,3800
Dhand,06-11-2024,0.1,Deshi,4000,4200,4150
Dhand,07-11-2024,0.3,Deshi,3900,4100,4000
Dhand,08-11-2024,0.1,Deshi,3000,3300,3250
Dhand,09-11-2024,0.1,Deshi,4000,4200,4170
Dhand,10-11-2024,0.1,Deshi,3900,4300,4200
Dhand,11-11-2024,0.1,Deshi,3000,3200,3170
Dhand,12-11-2024,0.1,Deshi,3000,3300,3240
Dhand,13-11-2024,0.2,Deshi,3000,3200,3180
Farukh Nagar,01-11-2024,3.1,Other,2600,4600,2600
Farukh Nagar,02-11-2024,3.5,Other,2800,4800,2800
Farukh Nagar,03-11-2024,3.4,Other,2700,4700,2700
Farukh Nagar,04-11-2024,3.6,Other,2800,4800,2800
Farukh Nagar,05-11-2024,3.8,Other,2800,4700,2800
Farukh Nagar,06-11-2024,3.9,Other,2800,4000,2800
Farukh Nagar,08-11-2024,4.8,Other,2500,3800,2500
Farukh Nagar,09-11-2024,4.2,Other,2600,3700,2600
Farukh Nagar,10-11-2024,4.4,Other,2200,4000,2200
Farukh Nagar,11-11-2024,4.5,Other,2400,4000,2400
Farukh Nagar,12-11-2024,4.4,Other,2400,3900,2400
FerozpurZirkha(Nagina),01-11-2024,2,Other,3000,4000,3500
FerozpurZirkha(Nagina),02-11-2024,2,Other,3000,4000,3500
FerozpurZirkha(Nagina),03-11-2024,2,Other,3000,3400,3200
FerozpurZirkha(Nagina),04-11-2024,2,Other,2600,3000,2800
FerozpurZirkha(Nagina),05-11-2024,2,Other,2600,3000,2800
FerozpurZirkha(Nagina),06-11-2024,2,Other,2600,3000,2800
FerozpurZirkha(Nagina),07-11-2024,2.2,Other,2400,2800,2600
FerozpurZirkha(Nagina),08-11-2024,1.8,Other,2400,2800,2600
FerozpurZirkha(Nagina),09-11-2024,2.2,Other,2600,3000,2800
FerozpurZirkha(Nagina),10-11-2024,2,Other,2600,3000,2800
FerozpurZirkha(Nagina),11-11-2024,2.5,Other,2800,3200,3000
FerozpurZirkha(Nagina),12-11-2024,2.5,Other,3000,3800,3400
FerozpurZirkha(Nagina),13-11-2024,1.8,Other,3200,3600,3400
Ganaur,01-11-2024,0.95,Tomato,4500,5000,4800
Ganaur,02-11-2024,1.95,Tomato,4500,5000,4800
Ganaur,04-11-2024,1.1,Tomato,4500,5000,4800
Ganaur,05-11-2024,2.15,Tomato,4000,4500,4200
Ganaur,06-11-2024,1.6,Tomato,3800,4000,3800
Ganaur,07-11-2024,0.65,Tomato,3500,4000,3800
Ganaur,08-11-2024,1.4,Tomato,3500,4000,3800
Ganaur,09-11-2024,1.8,Tomato,3500,4000,3800
Ganaur,10-11-2024,2.35,Tomato,3500,4000,3800
Ganaur,11-11-2024,1.3,Tomato,3200,3500,3500
Ganaur,12-11-2024,1.65,Tomato,3400,3500,3400
Ganaur,13-11-2024,1.55,Tomato,3500,4000,3800
Gharaunda,01-11-2024,0.9,Other,3500,4000,4000
Gharaunda,02-11-2024,0.7,Other,3500,4000,4000
Gharaunda,04-11-2024,1,Other,3200,4000,4000
Gharaunda,05-11-2024,1,Other,3200,3500,3500
Gharaunda,07-11-2024,1.2,Other,3000,4400,4400
Gharaunda,08-11-2024,1,Other,3000,4000,4000
Gharaunda,11-11-2024,1.2,Other,3200,4000,4000
Gharaunda,12-11-2024,1,Other,3000,4000,4000
Gharaunda,13-11-2024,0.6,Other,3000,3000,3000
Gohana,01-11-2024,1.3,Tomato,3000,5000,4000
Gohana,02-11-2024,2,Tomato,3000,5000,4000
Gohana,03-11-2024,4.9,Tomato,3000,5000,4000
Gohana,04-11-2024,5.8,Tomato,3000,4000,3500
Gohana,05-11-2024,1.8,Tomato,3000,4000,3500
Gohana,06-11-2024,0.6,Tomato,3000,4000,3500
Gohana,07-11-2024,2.5,Tomato,3000,5000,4000
Gohana,08-11-2024,4.4,Tomato,3000,4000,3500
Gohana,09-11-2024,2.8,Tomato,3000,4000,3500
Gohana,10-11-2024,5.1,Tomato,3000,4000,3500
Gohana,11-11-2024,4.4,Tomato,3000,4000,3500
Gohana,12-11-2024,3.5,Tomato,3000,4000,3500
Gohana,13-11-2024,2.2,Tomato,3000,4000,3500
Gurgaon,01-11-2024,46.7,Other,2000,3000,2500
Gurgaon,02-11-2024,63.8,Other,2000,3000,2500
Gurgaon,03-11-2024,82.7,Other,2000,3000,2500
Gurgaon,04-11-2024,79,Other,2000,3000,2500
Gurgaon,05-11-2024,79,Other,1000,3000,2000
Gurgaon,06-11-2024,108.9,Other,2000,3000,2500
Gurgaon,07-11-2024,109.5,Other,2000,3000,2500
Gurgaon,08-11-2024,109,Other,2000,3000,2500
Gurgaon,09-11-2024,97.8,Other,1000,3000,2000
Gurgaon,10-11-2024,81.8,Other,1500,2500,2000
Gurgaon,11-11-2024,96.4,Other,2000,3000,2500
Gurgaon,12-11-2024,90.9,Other,2000,3000,2500
Gurgaon,13-11-2024,91,Other,2000,3000,2500
Hansi,01-11-2024,2.4,Other,4000,4000,4000
Hansi,02-11-2024,8.5,Other,4000,4000,4000
Hansi,03-11-2024,9.9,Other,4000,4500,4000
Hansi,04-11-2024,14.2,Other,4000,4500,4000
Hansi,05-11-2024,12.8,Other,3000,3500,3300
Hansi,06-11-2024,6.4,Other,3000,3500,3300
Hansi,07-11-2024,8.2,Other,3000,3500,3300
Hansi,08-11-2024,5.3,Other,3000,3500,3300
Hansi,09-11-2024,11.4,Other,3000,3500,3300
Hansi,10-11-2024,8.8,Other,3000,3500,3300
Hansi,11-11-2024,11.5,Other,3000,3500,3300
Hansi,12-11-2024,13.2,Other,3000,3500,3300
Hansi,13-11-2024,5.9,Other,3000,3500,3300
Hissar,02-11-2024,13.3,Other,2500,3000,3000
Hissar,03-11-2024,6.5,Other,2500,2800,2800
Hissar,04-11-2024,9,Other,2200,3000,3000
Hissar,07-11-2024,15.8,Other,2500,3500,3200
Hissar,12-11-2024,7.6,Other,1700,3200,2500
Hissar,13-11-2024,12.1,Other,2000,2500,2500
Hodal,11-11-2024,3.4,Deshi,2500,3500,3000
Jagadhri,02-11-2024,2.5,Other,2000,3000,2500
Jagadhri,04-11-2024,2,Other,2500,3500,3200
Jagadhri,05-11-2024,2.6,Other,2500,3500,3000
Jagadhri,06-11-2024,2.78,Other,2200,4000,3300
Jagadhri,07-11-2024,2.1,Other,2000,3000,2500
Jagadhri,08-11-2024,2.3,Other,2000,2500,2250
Jagadhri,09-11-2024,1.8,Other,2200,3000,2600
Jagadhri,11-11-2024,1.6,Other,1800,2500,2200
Jagadhri,12-11-2024,1.8,Other,1800,2500,2250
Jagadhri,13-11-2024,1.6,Other,2000,2800,2400
Jakhal,02-11-2024,0.3,Other,3000,3000,3000
Jakhal,03-11-2024,0.2,Other,3000,3100,3100
Jakhal,04-11-2024,0.2,Other,2700,2700,2700
Jakhal,05-11-2024,0.1,Other,2800,2800,2800
Jakhal,06-11-2024,0.3,Other,2500,2500,2500
Jakhal,07-11-2024,0.1,Other,2500,2500,2500
Jakhal,08-11-2024,0.4,Other,2700,3000,3000
Jakhal,09-11-2024,0.1,Other,3200,3200,3200
Jakhal,10-11-2024,0.1,Other,3400,3400,3400
Jakhal,11-11-2024,0.3,Other,3000,3000,3000
Jakhal,12-11-2024,0.1,Other,2800,2800,2800
Jakhal,13-11-2024,0.2,Other,3000,3000,3000
Jhajjar,01-11-2024,0.7,Other,5800,6200,6000
Jhajjar,02-11-2024,2.6,Other,5800,6200,6000
Jhajjar,03-11-2024,2.9,Other,4800,5200,5000
Jhajjar,04-11-2024,4.3,Other,4800,5200,5000
Jhajjar,06-11-2024,4.1,Other,4800,5200,5000
Jhajjar,07-11-2024,4.1,Other,4800,5200,5000
Jhajjar,08-11-2024,2.7,Other,4800,5200,5000
Jhajjar,09-11-2024,0.5,Other,4800,5200,5000
Jhajjar,10-11-2024,1.8,Other,3800,4200,4000
Jhajjar,11-11-2024,2.8,Other,4800,5200,5000
Jhajjar,13-11-2024,3.5,Other,4800,5200,5000
Jind,01-11-2024,5.6,Other,4000,4500,4150
Jind,04-11-2024,6.5,Other,4000,5500,5100
Jind,05-11-2024,7.8,Other,4000,5000,4500
Jind,06-11-2024,4.8,Other,3500,5000,4500
Jind,10-11-2024,8.5,Other,3000,4500,4500
Jind,11-11-2024,6.3,Other,3000,5000,4500
kalanwali,08-11-2024,0.4,Other,2000,2000,2000
kalanwali,11-11-2024,0.3,Other,2500,2500,2500
kalanwali,12-11-2024,0.4,Other,2500,2500,2500
Kosli,08-11-2024,0.2,Other,4000,4000,4000
Kosli,09-11-2024,0.2,Other,4000,4000,4000
Kosli,11-11-2024,0.1,Other,4000,4000,4000
Ladwa,01-11-2024,1.3,Tomato,2500,3000,2800
Ladwa,02-11-2024,1.5,Tomato,3000,3000,3000
Ladwa,03-11-2024,1.4,Tomato,2500,3200,2900
Ladwa,04-11-2024,1.6,Tomato,2500,3000,2800
Ladwa,05-11-2024,1.6,Tomato,2500,3000,2800
Ladwa,06-11-2024,1.5,Tomato,2500,3000,2800
Ladwa,07-11-2024,1.3,Tomato,2500,3000,2800
Ladwa,08-11-2024,1.4,Tomato,2500,2800,2600
Ladwa,09-11-2024,1.5,Tomato,2500,2600,2600
Ladwa,10-11-2024,2,Tomato,2500,3000,2800
Ladwa,11-11-2024,1.6,Tomato,2500,3000,2800
Ladwa,12-11-2024,1.7,Tomato,2000,2500,2200
Ladwa,13-11-2024,1.8,Tomato,2500,3000,2800
Loharu,02-11-2024,1,Other,2800,3000,3000
Loharu,05-11-2024,1,Other,2300,2400,2400
Loharu,08-11-2024,0.2,Other,3500,3500,3500
Loharu,09-11-2024,0.4,Other,4500,4500,4500
Loharu,11-11-2024,0.8,Other,3000,3000,3000
Loharu,12-11-2024,0.2,Other,3000,3000,3000
Loharu,13-11-2024,0.5,Other,3000,3200,3000
Madlauda,01-11-2024,0.45,Other,4000,4000,4000
Madlauda,02-11-2024,0.25,Other,4000,4000,4000
Madlauda,03-11-2024,0.4,Other,4000,4500,4250
Madlauda,04-11-2024,0.45,Other,4000,4200,4100
Madlauda,05-11-2024,0.35,Other,4000,4000,4000
Madlauda,06-11-2024,0.5,Other,3500,3500,3500
Madlauda,07-11-2024,0.55,Other,3500,4000,3750
Madlauda,08-11-2024,0.4,Other,3500,3500,3500
Madlauda,09-11-2024,0.45,Other,3000,4000,3500
Madlauda,10-11-2024,0.4,Other,3500,3500,3500
Madlauda,11-11-2024,0.5,Other,3000,3500,3250
Madlauda,12-11-2024,0.45,Other,3000,3500,3250
Madlauda,13-11-2024,0.25,Other,3000,3000,3000
Meham,01-11-2024,0.1,Deshi,4000,4000,4000
Meham,02-11-2024,1.1,Deshi,3000,4000,3500
Meham,04-11-2024,0.3,Deshi,2500,3000,2800
Meham,05-11-2024,0.5,Deshi,1800,1800,1800
Meham,06-11-2024,0.4,Deshi,2000,2000,2000
Meham,07-11-2024,0.3,Deshi,1700,1700,1700
Meham,08-11-2024,0.5,Deshi,1800,2000,1900
Meham,09-11-2024,0.5,Deshi,2000,2000,2000
Meham,11-11-2024,0.5,Deshi,1500,1500,1500
Meham,12-11-2024,0.2,Deshi,2500,2500,2500
Meham,13-11-2024,0.3,Deshi,2500,2500,2500
Mohindergarh,05-11-2024,2.4,Tomato,2500,3000,2500
Mohindergarh,06-11-2024,2.6,Tomato,2500,3000,3000
Mohindergarh,07-11-2024,4.4,Tomato,3000,3000,3000
Mohindergarh,08-11-2024,4.2,Tomato,1500,3000,3000
Mohindergarh,09-11-2024,4.7,Tomato,2500,3000,3000
Mohindergarh,11-11-2024,4.65,Tomato,2500,3000,3000
Mustafabad,01-11-2024,0.1,Other,5000,5000,5000
Mustafabad,02-11-2024,0.1,Other,5000,5000,5000
Mustafabad,04-11-2024,0.1,Other,5000,5000,5000
Mustafabad,05-11-2024,0.1,Other,4600,4800,4600
Mustafabad,06-11-2024,0.06,Other,3600,3800,3600
Mustafabad,07-11-2024,0.04,Other,3500,3600,3600
Mustafabad,08-11-2024,0.04,Other,3500,4000,3600
Mustafabad,09-11-2024,0.07,Other,3500,3800,3600
Mustafabad,10-11-2024,0.06,Other,3500,4000,3600
Mustafabad,11-11-2024,0.04,Other,3500,4000,3600
Mustafabad,12-11-2024,0.04,Other,3500,3800,3600
Naraingarh,01-11-2024,1.97,Tomato,1000,3000,2200
Naraingarh,02-11-2024,2.38,Tomato,1500,3000,2500
Naraingarh,04-11-2024,2.81,Tomato,1500,3500,2300
Naraingarh,05-11-2024,2.02,Tomato,1000,3000,2500
Naraingarh,06-11-2024,1.69,Tomato,1800,3300,2500
Naraingarh,07-11-2024,1.7,Tomato,1800,3000,2700
Naraingarh,08-11-2024,2.04,Tomato,2000,3500,3200
Naraingarh,09-11-2024,3.23,Tomato,1500,3000,2500
Naraingarh,11-11-2024,1.6,Tomato,1500,3000,2500
Naraingarh,12-11-2024,2.07,Tomato,2000,3000,2500
Naraingarh,13-11-2024,1.61,Tomato,1500,4000,2500
Narnaul,01-11-2024,0.2,Other,3000,3000,3000
Narnaul,02-11-2024,2.9,Other,3000,5000,4000
Narnaul,03-11-2024,2.6,Other,2500,3500,3000
Narnaul,04-11-2024,5.2,Other,2500,4000,3000
Narnaul,05-11-2024,1.9,Other,2500,3000,2800
Narnaul,06-11-2024,3,Other,2000,3500,3000
Narnaul,07-11-2024,4,Other,2000,3500,3000
Narnaul,08-11-2024,4.6,Other,2000,3500,3000
Narnaul,09-11-2024,4.5,Other,2000,3500,3000
Narnaul,10-11-2024,4.8,Other,2000,3500,3000
Narnaul,11-11-2024,4.9,Other,2000,3000,2500
Narnaul,12-11-2024,7,Other,2300,3000,2500
Narnaul,13-11-2024,3.8,Other,2000,3000,2500
Narwana,02-11-2024,1.1,Other,4000,4500,4500
Narwana,03-11-2024,1.3,Other,2500,5000,4000
Narwana,04-11-2024,1.5,Other,2500,3000,3000
Narwana,05-11-2024,1.5,Other,2500,3000,3000
Narwana,07-11-2024,0.8,Other,2500,2500,2500
Narwana,08-11-2024,1.4,Other,3000,3000,3000
Narwana,09-11-2024,0.7,Other,3000,3500,3250
Narwana,10-11-2024,1.1,Other,3000,3500,3500
Narwana,11-11-2024,1.2,Other,3000,3000,3000
Narwana,12-11-2024,0.7,Other,2000,2000,2000
"New Grain Market , Faridabad",05-11-2024,24.1,Deshi,2000,4000,3000
"New Grain Market , Faridabad",06-11-2024,41.1,Deshi,2000,4000,3000
"New Grain Market , Faridabad",08-11-2024,37.7,Deshi,2200,3700,2650
"New Grain Market , Faridabad",09-11-2024,43.6,Deshi,2000,4000,3000
"New Grain Market(main), Karnal",03-11-2024,16.7,Other,2500,3500,3000
"New Grain Market(main), Karnal",04-11-2024,23.8,Other,2500,3500,3000
"New Grain Market(main), Karnal",05-11-2024,18.3,Other,2500,3500,3000
"New Grain Market(main), Karnal",06-11-2024,25.3,Other,2000,3500,2750
"New Grain Market(main), Karnal",07-11-2024,15.6,Other,2000,3500,2750
"New Grain Market(main), Karnal",09-11-2024,26.1,Other,3000,4000,3500
"New Grain Market(main), Karnal",10-11-2024,28.9,Other,1200,2800,2000
"New Grain Market(main), Karnal",11-11-2024,18.7,Other,2000,3000,2500
"New Grain Market(main), Karnal",12-11-2024,23.5,Other,1200,3200,2200
"New Grain Market(main), Karnal",13-11-2024,12.2,Other,1400,4000,2700
Nuh,01-11-2024,0.8,Other,2000,2000,2000
Nuh,02-11-2024,1.9,Other,1500,2200,2000
Nuh,03-11-2024,1.2,Other,1700,2200,2000
Nuh,08-11-2024,1.5,Other,1800,2000,2000
Nuh,09-11-2024,2.2,Other,1500,2000,2000
Nuh,10-11-2024,1.3,Other,1500,2000,2000
Nuh,11-11-2024,1.3,Other,1500,2000,2000
Panipat,01-11-2024,18.7,Other,2000,4000,3000
Panipat,03-11-2024,23.2,Other,2000,2500,2250
Panipat,04-11-2024,20.8,Other,1700,2500,2100
Panipat,05-11-2024,22.5,Other,1000,3000,2000
Panipat,07-11-2024,12,Other,1200,1800,1500
Panipat,08-11-2024,13,Other,1000,3000,2000
Panipat,10-11-2024,12,Other,2000,4000,3000
Panipat,11-11-2024,17,Other,2000,4000,3000
Panipat,12-11-2024,21.1,Other,1000,2500,1750
Pataudi,02-11-2024,8.3,Other,2700,3500,3000
Pataudi,03-11-2024,4,Other,3000,3600,3200
Pataudi,04-11-2024,2.5,Other,2800,3200,3000
Pehowa,06-11-2024,0.2,Other,1500,1802,1600
Pundri,01-11-2024,0.3,Other,3100,3500,3300
Pundri,02-11-2024,0.8,Other,2600,2900,2750
Pundri,03-11-2024,0.3,Other,2400,2500,2450
Pundri,04-11-2024,0.5,Other,2600,3000,2800
Pundri,05-11-2024,0.4,Other,2700,2800,2750
Pundri,06-11-2024,0.4,Other,2900,3000,2950
Pundri,07-11-2024,0.45,Other,2800,3500,3150
Pundri,08-11-2024,0.65,Other,3100,3200,3150
Pundri,09-11-2024,0.85,Other,2800,3000,2900
Pundri,10-11-2024,0.55,Other,2600,2800,2700
Pundri,11-11-2024,0.3,Other,2700,2800,2750
Pundri,12-11-2024,1.2,Other,2600,2800,2700
Pundri,13-11-2024,0.7,Other,2400,2800,2600
Punhana,02-11-2024,3,Other,4000,4000,4000
Punhana,03-11-2024,4.2,Other,4000,4000,4000
Punhana,04-11-2024,4.7,Other,3000,4000,3500
Punhana,05-11-2024,2.3,Other,3500,3500,3500
Punhana,06-11-2024,2.3,Other,3000,3500,3200
Punhana,07-11-2024,2.4,Other,3000,3500,3200
Punhana,08-11-2024,3.6,Other,3000,3000,3000
Punhana,09-11-2024,2.5,Other,3000,3000,3000
Punhana,10-11-2024,3.8,Other,3000,3000,3000
Punhana,11-11-2024,4,Other,3000,3000,3000
Punhana,12-11-2024,2.2,Other,3000,3000,3000
Punhana,13-11-2024,3.7,Other,3000,3000,3000
Radaur,01-11-2024,10,Other,2000,2000,2000
Radaur,02-11-2024,12,Other,2100,2400,2200
Radaur,04-11-2024,12,Other,2000,2400,2200
Radaur,05-11-2024,10,Other,1900,2200,2000
Radaur,06-11-2024,12,Other,1800,2400,2000
Radaur,07-11-2024,11,Other,2000,2300,2200
Radaur,08-11-2024,12,Other,1800,2400,2000
